Prof.;Item;AHPrice;Comp.Price;profit;profit pct
164;Annihilator;None;54555926;#¡VALOR!;
164;Arcanite Champion;None;69061124;#¡VALOR!;
164;Thick Obsidian Breastplate;750000000;209049768;54095,0232;
164;Jagged Obsidian Shield;400000000;97029200;30297,08;
164;Arcanite Skeleton Key;None;1801400;#¡VALOR!;
164;Barbaric Iron Boots;None;5179968;#¡VALOR!;
164;Barbaric Iron Breastplate;None;1999960;#¡VALOR!;
164;Barbaric Iron Gloves;None;1809970;#¡VALOR!;
164;Barbaric Iron Helm;None;1411086;#¡VALOR!;
164;Barbaric Iron Shoulders;None;1092200;#¡VALOR!;
164;Big Black Mace;None;4286416;#¡VALOR!;
164;Big Bronze Knife;None;1849714;#¡VALOR!;
164;Black Amnesty;None;68410411;#¡VALOR!;
164;Black Grasp of the Destroyer;350000000;99437200;25056,28;
164;Blackfury;None;93697500;#¡VALOR!;
164;Blackguard;None;120065600;#¡VALOR!;
164;Blazing Rapier;None;10812126;#¡VALOR!;
164;Bleakwood Hew;None;12449382;#¡VALOR!;
164;Blight;None;7884512;#¡VALOR!;
164;Blood Talon;None;46280780;#¡VALOR!;
164;Bloodsoul Breastplate;None;5878994;#¡VALOR!;
164;Bloodsoul Gauntlets;None;7429398;#¡VALOR!;
164;Bloodsoul Shoulders;None;4754196;#¡VALOR!;
164;Blue Glittering Axe;None;4103125;#¡VALOR!;
164;Bronze Axe;None;1156715;#¡VALOR!;
164;Bronze Battle Axe;None;2126764;#¡VALOR!;
164;Bronze Greatsword;None;1874098;#¡VALOR!;
164;Bronze Mace;None;1023715;#¡VALOR!;
164;Bronze Shortsword;None;1016430;#¡VALOR!;
164;Bronze Warhammer;None;1203049;#¡VALOR!;
164;Sulfuron Hammer;699999999;480565460;21943,4539;
164;Coarse Sharpening Stone;None;6400;#¡VALOR!;
164;Coarse Weightstone;None;23673;#¡VALOR!;
164;Copper Axe;None;1001000;#¡VALOR!;
164;Copper Battle Axe;None;2353496;#¡VALOR!;
164;Copper Bracers;None;320000;#¡VALOR!;
164;Copper Chain Belt;None;960000;#¡VALOR!;
164;Copper Chain Boots;None;1280000;#¡VALOR!;
164;Copper Chain Pants;None;640000;#¡VALOR!;
164;Copper Chain Vest;None;1424748;#¡VALOR!;
164;Copper Claymore;None;1723000;#¡VALOR!;
164;Copper Dagger;None;1058000;#¡VALOR!;
164;Copper Mace;None;1001000;#¡VALOR!;
164;Copper Shortsword;None;1001000;#¡VALOR!;
164;Corruption;None;18743188;#¡VALOR!;
164;Dark Iron Boots;None;52052800;#¡VALOR!;
164;Dark Iron Bracers;None;24035200;#¡VALOR!;
164;Dark Iron Destroyer;None;112243422;#¡VALOR!;
164;Dark Iron Gauntlets;None;42290022;#¡VALOR!;
164;Dark Iron Helm;None;24055400;#¡VALOR!;
164;Dark Iron Leggings;None;96090600;#¡VALOR!;
164;Dark Iron Mail;None;60015996;#¡VALOR!;
164;Dark Iron Plate;None;120063984;#¡VALOR!;
164;Dark Iron Pulverizer;None;108031992;#¡VALOR!;
164;Dark Iron Reaver;None;100212222;#¡VALOR!;
164;Dark Iron Shoulders;None;36007998;#¡VALOR!;
164;Dark Iron Sunderer;None;156031992;#¡VALOR!;
164;Darkrune Breastplate;None;2486400;#¡VALOR!;
164;Darkrune Gauntlets;None;3391840;#¡VALOR!;
164;Darkrune Helm;None;2034575;#¡VALOR!;
