id;Item;AHPrice;BuyPrice;Respawn;Qty;Seller
6270;Pattern: Blue Linen Vest;None;200;9000;1;Tharynn Bouden
4765;Enamelled Broadsword;7400;2877;9000;1;Morhan Coppertongue
4766;Feral Blade;6118;2407;9000;2;Morhan Coppertongue
4777;Ironwood Maul;None;7040;9000;2;Nillen Andemar
4778;Heavy Spiked Mace;None;7350;9000;2;Nillen Andemar
12247;Broad Bladed Knife;None;28372;9000;1;Gavin Gnarltree
4797;Fiery Cloak;None;4262;9000;1;Morg Gnarltree
4798;Heavy Runed Cloak;None;5832;9000;1;Morg Gnarltree
4799;Antiquated Cloak;None;3042;9000;1;Morg Gnarltree
4800;Mighty Chain Pants;None;6109;9000;1;Morg Gnarltree
4816;Legionnaire's Leggings;None;7518;9000;1;Morg Gnarltree
11304;Fine Longbow;8000;4861;9000;2;Avette Fellwood
20576;Pattern: Black Whelp Tunic;None;1400;9000;1;Amy Davenport
4820;Guardian Buckler;None;8320;9000;1;Kara Adams
4821;Bear Buckler;None;6541;9000;1;Kara Adams
4822;Owl's Disk;None;6746;9000;1;Kara Adams
5771;Pattern: Red Linen Bag;None;200;9000;1;Gina MacGregor
5786;Pattern: Murloc Scale Belt;198;550;9000;1;Gina MacGregor
5787;Pattern: Murloc Scale Breastplate;1500;600;9000;1;Gina MacGregor
6274;Pattern: Blue Overalls;4900;400;9000;1;Gina MacGregor
4788;Agile Boots;None;2633;9000;1;Kat Sampson
4789;Stable Boots;None;1998;9000;1;Kat Sampson
858;Lesser Healing Potion;180;100;9000;3;Dawn Brightstar
954;Scroll of Strength;200;200;9000;1;Dawn Brightstar
955;Scroll of Intellect;186;150;9000;3;Dawn Brightstar
1180;Scroll of Stamina;100;150;9000;3;Dawn Brightstar
1181;Scroll of Spirit;100;100;9000;3;Dawn Brightstar
2455;Minor Mana Potion;25;40;9000;2;Dawn Brightstar
3012;Scroll of Agility;400;200;9000;1;Dawn Brightstar
3013;Scroll of Protection;100;100;9000;3;Dawn Brightstar
3928;Superior Healing Potion;1290;1000;9000;2;Thultazor
6149;Greater Mana Potion;661;480;9000;1;Thultazor
12255;Pale Leggings;None;34987;9000;1;Thralosh
12256;Cindercloth Leggings;None;43828;9000;1;Thralosh
11223;Formula: Enchant Bracer - Deflection;14500;5800;9000;1;Banalash
11303;Fine Shortbow;None;3184;9000;1;Rallic Finn
4781;Whispering Vest;None;2735;9000;1;Aldren Cordon
4782;Solstice Robe;2060;2076;9000;1;Aldren Cordon
4786;Wise Man's Belt;8000;1393;9000;1;Aldren Cordon
18649;Schematic: Blue Firework;None;1800;9000;1;Darian Singh
3385;Lesser Mana Potion;49;120;9000;2;Charys Yserian
4824;Blurred Axe;None;16856;9000;1;Charys Yserian
4825;Callous Axe;None;20472;9000;1;Charys Yserian
4826;Marauder Axe;None;15436;9000;1;Charys Yserian
4827;Wizard's Belt;6000;3748;9000;1;Charys Yserian
4828;Nightwind Belt;2995;3420;9000;1;Charys Yserian
4829;Dreamer's Belt;4900;4153;9000;1;Charys Yserian
954;Scroll of Strength;200;200;9000;1;Adair Gilroy
955;Scroll of Intellect;186;150;9000;1;Adair Gilroy
1180;Scroll of Stamina;100;150;9000;3;Adair Gilroy
1181;Scroll of Spirit;100;100;9000;2;Adair Gilroy
1478;Scroll of Protection II;672;250;9000;2;Adair Gilroy
1711;Scroll of Stamina II;375;300;9000;2;Adair Gilroy
1712;Scroll of Spirit II;676;250;9000;2;Adair Gilroy
2290;Scroll of Intellect II;208;300;9000;1;Adair Gilroy
3012;Scroll of Agility;400;200;9000;1;Adair Gilroy
3013;Scroll of Protection;100;100;9000;1;Adair Gilroy
6274;Pattern: Blue Overalls;4900;400;9000;1;Alexandra Bolero
10325;Pattern: White Wedding Dress;None;10000;9000;1;Alexandra Bolero
4817;Blessed Claymore;None;12311;9000;1;Brak Durnad
4818;Executioner's Sword;None;14273;9000;1;Brak Durnad
4389;Gyrochronatom;2289;3000;9000;1;Neal Allen
4790;Inferno Cloak;None;4158;9000;1;Jennabink Powerseam
4792;Spirit Cloak;None;3279;9000;1;Jennabink Powerseam
4793;Sylvan Cloak;None;3720;9000;1;Jennabink Powerseam
4827;Wizard's Belt;6000;3748;9000;1;Jennabink Powerseam
4828;Nightwind Belt;2995;3420;9000;1;Jennabink Powerseam
4829;Dreamer's Belt;4900;4153;9000;1;Jennabink Powerseam
6275;Pattern: Greater Adept's Robe;None;800;9000;1;Jennabink Powerseam
11304;Fine Longbow;8000;4861;9000;1;Naela Trance
10858;Plans: Solid Iron Maul;None;3000;9000;1;Jannos Ironwill
6275;Pattern: Greater Adept's Robe;None;800;9000;1;Rann Flamespinner
11304;Fine Longbow;8000;4861;9000;1;William MacGregor
4788;Agile Boots;None;2633;9000;2;Defias Profiteer
4789;Stable Boots;None;1998;9000;1;Defias Profiteer
5640;Recipe: Rage Potion;3000;100;9000;1;Defias Profiteer
6365;Strong Fishing Pole;4597;901;9000;1;Vernon Hale
6365;Strong Fishing Pole;4597;901;9000;1;Khara Deepwater
5640;Recipe: Rage Potion;3000;100;9000;1;Xandar Goodbeard
6053;Recipe: Holy Protection Potion;7400;800;9000;1;Xandar Goodbeard
11304;Fine Longbow;8000;4861;9000;1;Cliff Hadin
4389;Gyrochronatom;2289;3000;9000;1;Loslor Rudge
1710;Greater Healing Potion;360;500;9000;2;Nandar Branson
3827;Mana Potion;200;480;9000;2;Nandar Branson
6055;Recipe: Fire Protection Potion;6500;1500;9000;1;Nandar Branson
4355;Pattern: Icy Cloak;3999;1500;9000;1;Micha Yance
11163;Formula: Enchant Bracer - Lesser Deflection;46600;3000;9000;1;Micha Yance
6365;Strong Fishing Pole;4597;901;9000;1;Lindea Rabonne
1710;Greater Healing Potion;360;500;9000;3;Bro'kin
3827;Mana Potion;200;480;9000;2;Bro'kin
3385;Lesser Mana Potion;49;120;9000;3;Bliztik
14627;Pattern: Bright Yellow Shirt;None;800;9000;1;Danielle Zipstitch
6275;Pattern: Greater Adept's Robe;None;800;9000;1;Sheri Zipstitch
6401;Pattern: Dark Silk Shirt;14997;1100;9000;1;Sheri Zipstitch
7087;Pattern: Crimson Silk Cloak;5358;1200;9000;1;Xizk Goodstitch
14630;Pattern: Enchanter's Cowl;7499;1000;9000;1;Xizk Goodstitch
10318;Pattern: Admiral's Hat;50000;7000;9000;1;Cowardly Crosby
4827;Wizard's Belt;6000;3748;9000;1;Wenna Silkbeard
4828;Nightwind Belt;2995;3420;9000;1;Wenna Silkbeard
4829;Dreamer's Belt;4900;4153;9000;1;Wenna Silkbeard
4830;Saber Leggings;None;9474;9000;1;Wenna Silkbeard
4831;Stalking Pants;19899;7858;9000;1;Wenna Silkbeard
4832;Mystic Sarong;None;10497;9000;1;Wenna Silkbeard
4833;Glorious Shoulders;3000;8658;9000;1;Wenna Silkbeard
4835;Elite Shoulders;None;10550;9000;1;Wenna Silkbeard
7114;Pattern: Azure Silk Gloves;None;1000;9000;1;Wenna Silkbeard
7290;Pattern: Red Whelp Gloves;None;1600;9000;1;Wenna Silkbeard
7613;Pattern: Green Leather Armor;8000;2000;9000;1;Wenna Silkbeard
4389;Gyrochronatom;2289;3000;9000;1;Fradd Swiftgear
4389;Gyrochronatom;2289;3000;9000;1;Rizz Loosebolt
13308;Schematic: Ice Deflector;19699;1800;9000;1;Rizz Loosebolt
7289;Pattern: Black Whelp Cloak;None;650;9000;1;Clyde Ranthal
7613;Pattern: Green Leather Armor;8000;2000;9000;1;George Candarte
954;Scroll of Strength;200;200;9000;2;Deneb Walker
1478;Scroll of Protection II;672;250;9000;2;Deneb Walker
1711;Scroll of Stamina II;375;300;9000;2;Deneb Walker
1712;Scroll of Spirit II;676;250;9000;1;Deneb Walker
2290;Scroll of Intellect II;208;300;9000;2;Deneb Walker
3012;Scroll of Agility;400;200;9000;2;Deneb Walker
3385;Lesser Mana Potion;49;120;9000;2;Deneb Walker
5973;Pattern: Barbaric Leggings;9999;650;9000;1;Hammon Karwn
1710;Greater Healing Potion;360;500;9000;1;Drovnar Strongbrew
3827;Mana Potion;200;480;9000;2;Drovnar Strongbrew
6056;Recipe: Frost Protection Potion;29926;2000;9000;1;Drovnar Strongbrew
13288;Pattern: Raptor Hide Belt;None;2500;9000;1;Androd Fadran
11303;Fine Shortbow;None;3184;9000;1;Kuna Thunderhorn
11306;Sturdy Recurve;37772;19467;9000;1;Kuna Thunderhorn
11307;Massive Longbow;None;67952;9000;1;Kuna Thunderhorn
4781;Whispering Vest;None;2735;9000;1;Franklin Hamar
4782;Solstice Robe;2060;2076;9000;1;Franklin Hamar
4786;Wise Man's Belt;8000;1393;9000;1;Franklin Hamar
4794;Wolf Bracers;None;3515;9000;1;Bernard Brubaker
4795;Bear Bracers;None;3528;9000;1;Bernard Brubaker
4796;Owl Bracers;8000;3540;9000;1;Bernard Brubaker
4389;Gyrochronatom;2289;3000;9000;1;Herble Baubbletump
3385;Lesser Mana Potion;49;120;9000;2;Kzixx
4827;Wizard's Belt;6000;3748;9000;1;Kzixx
4828;Nightwind Belt;2995;3420;9000;1;Kzixx
4829;Dreamer's Belt;4900;4153;9000;1;Kzixx
4836;Fireproof Orb;None;8002;9000;1;Kzixx
4837;Strength of Will;None;8002;9000;1;Kzixx
4838;Orb of Power;None;8002;9000;1;Kzixx
6053;Recipe: Holy Protection Potion;7400;800;9000;1;Kzixx
6365;Strong Fishing Pole;4597;901;9000;1;Stuart Fleming
4824;Blurred Axe;None;16856;9000;1;Dark Iron Entrepreneur
4825;Callous Axe;None;20472;9000;1;Dark Iron Entrepreneur
4826;Marauder Axe;None;15436;9000;1;Dark Iron Entrepreneur
4831;Stalking Pants;19899;7858;9000;1;Dark Iron Entrepreneur
4832;Mystic Sarong;None;10497;9000;1;Dark Iron Entrepreneur
5642;Recipe: Free Action Potion;3896;1800;9000;1;Kor'geld
6365;Strong Fishing Pole;4597;901;9000;1;Kilxx
6270;Pattern: Blue Linen Vest;None;200;9000;1;Constance Brisboise
4777;Ironwood Maul;None;7040;9000;1;Wallace the Blind
4778;Heavy Spiked Mace;None;7350;9000;1;Wallace the Blind
4817;Blessed Claymore;None;12311;9000;2;Wallace the Blind
4818;Executioner's Sword;None;14273;9000;1;Wallace the Blind
11304;Fine Longbow;8000;4861;9000;1;Wallace the Blind
4827;Wizard's Belt;6000;3748;9000;1;Zixil
4828;Nightwind Belt;2995;3420;9000;1;Zixil
4829;Dreamer's Belt;4900;4153;9000;1;Zixil
4838;Orb of Power;None;8002;9000;1;Zixil
4817;Blessed Claymore;None;12311;9000;2;Ott
4818;Executioner's Sword;None;14273;9000;1;Ott
4824;Blurred Axe;None;16856;9000;1;Ott
4825;Callous Axe;None;20472;9000;1;Ott
4826;Marauder Axe;None;15436;9000;1;Ott
12247;Broad Bladed Knife;None;28372;9000;1;Ott
4797;Fiery Cloak;None;4262;9000;1;Robert Aebischer
4798;Heavy Runed Cloak;None;5832;9000;1;Robert Aebischer
4799;Antiquated Cloak;None;3042;9000;1;Robert Aebischer
4800;Mighty Chain Pants;None;6109;9000;1;Robert Aebischer
4816;Legionnaire's Leggings;None;7518;9000;1;Robert Aebischer
4833;Glorious Shoulders;3000;8658;9000;1;Robert Aebischer
4835;Elite Shoulders;None;10550;9000;1;Robert Aebischer
11305;Dense Shortbow;None;25814;9000;1;Bhaldaran Ravenshade
11039;Formula: Enchant Cloak - Minor Agility;499;800;9000;1;Dalria
11101;Formula: Enchant Bracer - Lesser Strength;10894;2500;9000;1;Dalria
3385;Lesser Mana Potion;49;120;9000;3;Harklan Moongrove
6054;Recipe: Shadow Protection Potion;10999;900;9000;1;Harklan Moongrove
5973;Pattern: Barbaric Leggings;9999;650;9000;1;Lardan
4827;Wizard's Belt;6000;3748;9000;1;Nizzik
4828;Nightwind Belt;2995;3420;9000;1;Nizzik
4829;Dreamer's Belt;4900;4153;9000;1;Nizzik
4830;Saber Leggings;None;9474;9000;1;Nizzik
4831;Stalking Pants;19899;7858;9000;1;Nizzik
4832;Mystic Sarong;None;10497;9000;1;Nizzik
4833;Glorious Shoulders;3000;8658;9000;1;Nizzik
4835;Elite Shoulders;None;10550;9000;1;Nizzik
5786;Pattern: Murloc Scale Belt;198;550;9000;1;Mavralyn
5787;Pattern: Murloc Scale Breastplate;1500;600;9000;1;Mavralyn
5771;Pattern: Red Linen Bag;None;200;9000;1;Valdaron
6270;Pattern: Blue Linen Vest;None;200;9000;1;Valdaron
6365;Strong Fishing Pole;4597;901;9000;1;Voloren
5642;Recipe: Free Action Potion;3896;1800;9000;1;Ulthir
5643;Recipe: Great Rage Potion;15000;2000;9000;2;Ulthir
13477;Recipe: Superior Mana Potion;120000;12000;9000;1;Ulthir
6365;Strong Fishing Pole;4597;901;9000;1;Lizbeth Cromwell
13477;Recipe: Superior Mana Potion;120000;12000;9000;1;Algernon
4817;Blessed Claymore;None;12311;9000;1;Piter Verance
4818;Executioner's Sword;None;14273;9000;1;Piter Verance
4824;Blurred Axe;None;16856;9000;1;Piter Verance
4825;Callous Axe;None;20472;9000;1;Piter Verance
4826;Marauder Axe;None;15436;9000;1;Piter Verance
4830;Saber Leggings;None;9474;9000;1;Piter Verance
4831;Stalking Pants;19899;7858;9000;1;Piter Verance
4832;Mystic Sarong;None;10497;9000;1;Piter Verance
11305;Dense Shortbow;None;25814;9000;1;Jensen Farran
1710;Greater Healing Potion;360;500;9000;1;Uma Bartulm
3827;Mana Potion;200;480;9000;2;Uma Bartulm
11303;Fine Shortbow;None;3184;9000;1;Skolmin Goldfury
11306;Sturdy Recurve;37772;19467;9000;1;Skolmin Goldfury
11307;Massive Longbow;None;67952;9000;1;Skolmin Goldfury
18731;Pattern: Heavy Leather Ball;None;2000;9000;1;Bombus Finespindle
6349;Formula: Enchant 2H Weapon - Lesser Intellect;4548;500;9000;1;Tilli Thistlefuzz
6365;Strong Fishing Pole;4597;901;9000;1;Tansy Puddlefizz
4389;Gyrochronatom;2289;3000;9000;1;Gearcutter Cogspinner
18649;Schematic: Blue Firework;None;1800;9000;1;Gearcutter Cogspinner
5642;Recipe: Free Action Potion;3896;1800;9000;1;Soolie Berryfizz
13478;Recipe: Elixir of Superior Defense;30000;13000;9000;1;Soolie Berryfizz
6365;Strong Fishing Pole;4597;901;9000;1;Catherine Leland
4389;Gyrochronatom;2289;3000;9000;1;Billibub Cogspinner
7089;Pattern: Azure Silk Cloak;25000;1500;9000;1;Brienna Starglow
7361;Pattern: Herbalist's Gloves;None;1800;9000;1;Harlown Darkweave
4389;Gyrochronatom;2289;3000;9000;1;Zan Shivsproket
7451;Pattern: Green Whelp Bracers;None;2800;9000;1;Pratt McGrubben
8385;Pattern: Turtle Scale Gloves;3500;3500;9000;1;Pratt McGrubben
15734;Pattern: Living Shoulders;5197;14000;9000;1;Pratt McGrubben
